txn_id,client_id,advisor_id,security_id,txn_date,txn_type,shares,price,amount
104,1,22,,2024-08-02,Deposit,,,54002.44
105,1,22,406.0,2023-03-18,Dividend,397.625,243.87,96968.81
106,1,22,478.0,2023-06-15,Sell,446.892,480.48,214722.67
107,1,22,215.0,2021-08-09,Buy,454.7514,138.82,63128.59
108,1,22,45.0,2021-04-20,Sell,363.0555,372.46,135223.65
109,1,22,,2020-07-12,Advisory Fee,,,3556.09
110,1,22,,2023-12-07,Deposit,,,19397.2
111,1,22,215.0,2023-01-01,Buy,429.6809,467.54,200893.01
112,1,22,45.0,2024-04-23,Buy,492.9151,213.69,105331.03
113,1,22,,2024-08-17,Deposit,,,99654.88
114,1,22,484.0,2020-04-01,Sell,395.7005,236.25,93484.24
115,1,22,,2021-10-18,Deposit,,,11411.3
116,1,22,,2022-09-16,Withdrawal,,,56968.8
117,1,22,174.0,2022-09-07,Buy,208.6926,136.81,28551.23
118,1,22,342.0,2024-08-07,Buy,370.1857,128.77,47668.81
119,1,22,,2020-10-08,Advisory Fee,,,5363.59
120,1,22,478.0,2023-05-22,Sell,271.2304,406.64,110293.13
121,1,22,406.0,2023-02-22,Buy,74.4669,115.67,8613.59
122,1,22,45.0,2021-09-11,Dividend,177.0978,114.93,20353.85
123,1,22,406.0,2024-05-11,Sell,114.1399,384.5,43886.79
124,1,22,406.0,2020-04-27,Buy,125.1873,107.22,13422.58
125,1,22,215.0,2020-10-11,Buy,252.0202,434.7,109553.18
126,1,22,342.0,2022-12-29,Sell,314.7796,178.17,56084.28
127,1,22,,2024-01-05,Deposit,,,84710.16
128,1,22,484.0,2022-12-04,Buy,113.3333,146.33,16584.06
129,1,22,215.0,2023-06-10,Dividend,433.2327,97.49,42235.86
130,1,22,139.0,2021-12-04,Dividend,428.2071,90.85,38902.62
131,1,22,139.0,2023-10-16,Buy,304.4358,94.33,28717.43
132,1,22,406.0,2021-05-29,Dividend,24.4066,248.3,6060.16
133,1,22,174.0,2021-04-10,Dividend,495.0787,19.05,9431.25
134,1,22,,2022-07-15,Advisory Fee,,,8523.85
135,1,22,,2023-09-12,Deposit,,,71498.24
136,1,22,,2024-09-25,Deposit,,,26587.27
137,1,22,484.0,2022-06-05,Dividend,343.9718,207.86,71497.98
138,1,22,484.0,2023-02-19,Dividend,200.9021,340.06,68318.77
139,1,22,174.0,2022-04-04,Dividend,158.9323,19.85,3154.81
140,1,22,,2023-11-05,Withdrawal,,,2459.23
141,1,22,424.0,2020-05-19,Buy,390.8576,435.65,170277.11
142,1,22,484.0,2020-12-06,Dividend,151.2869,152.43,23060.66
143,1,22,424.0,2020-08-25,Buy,202.7314,139.49,28279.0
144,1,22,,2020-06-05,Advisory Fee,,,7914.2
145,1,22,,2020-03-27,Deposit,,,52454.5
146,1,22,478.0,2022-08-27,Buy,36.7984,142.23,5233.84
147,1,22,,2024-10-29,Deposit,,,33762.6
148,1,22,478.0,2020-03-17,Sell,388.0807,349.16,135502.26
149,1,22,45.0,2023-06-26,Sell,145.1543,151.79,22032.97
150,1,22,45.0,2024-11-29,Buy,397.3954,81.68,32459.26
151,1,22,174.0,2022-10-06,Buy,459.3589,493.47,226679.84
152,1,22,342.0,2024-01-14,Sell,258.8325,192.9,49928.79
153,1,22,484.0,2023-09-18,Sell,71.6371,412.92,29580.39
154,1,22,,2020-04-01,Withdrawal,,,44198.4
155,1,22,,2024-07-31,Withdrawal,,,44278.76
156,2,25,,2024-11-24,Withdrawal,,,58907.18
157,2,25,202.0,2021-03-09,Sell,117.6798,66.81,7862.19
158,2,25,153.0,2024-05-27,Buy,19.4783,227.39,4429.17
159,2,25,64.0,2024-06-07,Buy,394.2804,443.46,174847.59
160,2,25,180.0,2022-11-17,Sell,188.0056,193.18,36318.92
161,2,25,180.0,2023-09-27,Sell,167.3762,106.03,17746.9
162,2,25,363.0,2024-03-02,Sell,106.2491,320.48,34050.71
163,2,25,299.0,2024-09-20,Buy,447.191,203.41,90963.12
164,2,25,64.0,2023-05-06,Sell,9.4625,246.74,2334.78
165,2,25,,2022-05-02,Deposit,,,73082.67
166,2,25,347.0,2023-04-20,Dividend,95.021,312.73,29715.92
167,2,25,,2023-06-07,Deposit,,,41768.84
168,2,25,205.0,2021-12-01,Buy,439.1746,126.58,55590.72
169,2,25,363.0,2022-05-05,Buy,309.9058,87.69,27175.64
170,2,25,202.0,2023-05-06,Buy,164.3039,422.43,69406.9
171,2,25,258.0,2023-11-28,Dividend,198.8347,123.33,24522.28
172,2,25,,2024-07-29,Withdrawal,,,26272.5
173,2,25,,2021-05-01,Withdrawal,,,46375.62
174,2,25,,2021-04-20,Deposit,,,69433.15
175,2,25,202.0,2021-08-08,Sell,169.438,376.02,63712.08
176,2,25,,2024-08-10,Deposit,,,46124.52
177,2,25,,2024-10-09,Deposit,,,2699.0
178,2,25,177.0,2023-12-18,Dividend,4.522,73.28,331.37
179,2,25,153.0,2021-11-28,Sell,434.5642,309.55,134519.35
180,2,25,408.0,2023-03-06,Sell,297.245,343.19,102011.51
181,2,25,315.0,2021-08-18,Dividend,195.6237,118.07,23097.29
182,2,25,387.0,2020-12-20,Dividend,309.9974,120.61,37388.79
183,2,25,470.0,2024-05-30,Buy,349.9556,198.04,69305.21
184,2,25,299.0,2021-07-01,Buy,144.3578,376.16,54301.63
185,2,25,347.0,2021-05-06,Dividend,435.57,443.99,193388.72
186,2,25,176.0,2021-08-09,Sell,309.6474,229.01,70912.35
187,2,25,,2023-09-05,Advisory Fee,,,690.16
188,2,25,408.0,2023-09-14,Sell,341.9884,492.72,168504.52
189,2,25,470.0,2021-12-15,Buy,296.5604,341.57,101296.14
190,2,25,363.0,2024-07-02,Sell,105.8974,249.92,26465.88
191,2,25,,2022-06-16,Advisory Fee,,,929.54
192,2,25,99.0,2024-10-29,Buy,78.8719,18.16,1432.31
193,2,25,,2024-08-15,Advisory Fee,,,1468.81
194,2,25,363.0,2023-12-06,Buy,231.5227,138.76,32126.09
195,2,25,177.0,2020-11-20,Dividend,424.7249,216.16,91808.53
196,2,25,299.0,2023-02-07,Sell,113.7796,225.47,25653.89
197,2,25,99.0,2021-09-08,Dividend,74.975,129.05,9675.52
198,2,25,64.0,2024-11-25,Buy,221.3618,141.19,31254.07
199,2,25,58.0,2022-02-03,Buy,225.936,157.25,35528.44
200,2,25,,2022-09-14,Advisory Fee,,,615.88
201,2,25,202.0,2024-08-09,Sell,148.9191,101.15,15063.17
202,2,25,387.0,2020-12-15,Sell,1.5336,228.1,349.81
203,2,25,58.0,2022-12-13,Buy,202.8347,346.87,70357.27
204,2,25,,2023-01-06,Deposit,,,50102.91
205,2,25,153.0,2022-12-22,Buy,465.155,287.44,133704.15
206,2,25,,2023-04-09,Deposit,,,62460.37
207,2,25,363.0,2022-03-30,Buy,257.5092,280.02,72107.73
208,2,25,202.0,2021-12-30,Sell,294.1479,114.23,33600.51
209,2,25,387.0,2020-12-19,Buy,155.7097,10.9,1697.24
210,2,25,470.0,2021-07-25,Sell,249.8039,453.09,113183.65
211,2,25,,2024-06-03,Advisory Fee,,,803.43
212,2,25,299.0,2023-05-30,Dividend,50.0769,73.64,3687.66
213,2,25,,2022-06-08,Advisory Fee,,,506.5
214,2,25,176.0,2022-12-21,Dividend,312.9567,175.75,55002.14
215,2,25,,2022-04-27,Deposit,,,4767.11
216,2,25,,2023-05-27,Withdrawal,,,73637.82
217,2,25,,2024-06-25,Advisory Fee,,,966.1
218,2,25,153.0,2021-08-29,Sell,400.9157,305.17,122347.44
219,2,25,153.0,2023-09-09,Sell,344.3695,496.94,171130.98
220,2,25,299.0,2022-12-05,Dividend,163.1654,14.43,2354.48
221,2,25,58.0,2023-06-14,Buy,371.4662,292.43,108627.86
222,2,25,153.0,2024-08-08,Sell,344.5985,210.35,72486.29
223,2,25,176.0,2022-07-08,Sell,444.6519,20.36,9053.11
224,2,25,258.0,2023-06-30,Buy,337.4511,303.65,102467.03
225,2,25,299.0,2021-09-28,Buy,107.5221,104.95,11284.44
226,2,25,58.0,2024-10-13,Dividend,279.1814,440.13,122876.11
227,2,25,177.0,2023-05-05,Sell,458.2817,274.96,126009.14
228,2,25,,2022-03-09,Deposit,,,60030.41
229,2,25,180.0,2021-11-03,Dividend,298.522,398.31,118904.3
230,2,25,,2021-08-23,Deposit,,,94482.79
231,2,25,387.0,2024-09-03,Sell,126.8039,240.12,30448.15
232,2,25,205.0,2022-11-01,Dividend,416.1734,249.83,103972.6
233,2,25,347.0,2024-02-26,Dividend,311.1169,264.59,82318.42
234,2,25,,2021-07-16,Deposit,,,42581.63
235,2,25,153.0,2022-05-11,Dividend,63.7505,345.44,22021.97
236,2,25,45.0,2021-07-07,Buy,155.6803,143.72,22374.37
237,2,25,258.0,2022-08-09,Dividend,7.9437,212.82,1690.58
238,2,25,202.0,2024-07-12,Dividend,335.1572,66.58,22314.77
239,2,25,,2022-04-27,Advisory Fee,,,1057.99
240,2,25,,2021-03-23,Advisory Fee,,,639.94
241,2,25,,2024-03-19,Withdrawal,,,90421.25
242,2,25,180.0,2021-06-07,Sell,441.0102,431.24,190181.24
243,3,7,469.0,2024-04-18,Buy,476.6947,235.06,112051.86
244,3,7,387.0,2024-02-17,Buy,385.3258,169.08,65150.89
245,3,7,475.0,2024-11-07,Buy,73.4985,260.98,19181.64
246,3,7,57.0,2023-04-10,Buy,376.4009,369.01,138895.7
247,3,7,214.0,2023-07-20,Buy,215.2497,462.26,99501.33
248,3,7,183.0,2023-02-10,Buy,237.1751,435.68,103332.45
249,3,7,475.0,2024-11-04,Buy,397.3048,251.52,99930.1
250,3,7,333.0,2024-11-27,Buy,463.5377,437.82,202946.08
251,3,7,469.0,2024-07-12,Buy,215.6965,187.3,40399.95
252,3,7,475.0,2023-05-31,Buy,431.3559,33.27,14351.21
253,3,7,57.0,2023-04-11,Sell,89.4833,128.9,11534.4
254,3,7,475.0,2023-08-12,Buy,496.478,264.76,131447.52
255,3,7,,2024-07-04,Withdrawal,,,5885.15
256,3,7,191.0,2024-05-23,Buy,110.9019,68.44,7590.13
257,3,7,333.0,2023-10-14,Buy,7.9158,89.56,708.94
258,3,7,,2023-11-08,Advisory Fee,,,2836.0
259,3,7,387.0,2023-11-28,Sell,178.9889,85.32,15271.33
260,3,7,211.0,2024-06-06,Buy,46.0541,172.46,7942.49
261,3,7,123.0,2023-04-13,Dividend,409.2889,205.87,84260.31
262,3,7,387.0,2023-10-19,Dividend,454.2759,38.47,17475.99
263,3,7,475.0,2024-08-24,Dividend,358.4581,32.22,11549.52
264,3,7,333.0,2024-06-08,Dividend,188.6582,53.37,10068.69
265,3,7,475.0,2024-04-25,Dividend,283.5809,305.09,86517.7
266,3,7,,2024-11-26,Advisory Fee,,,5687.07
267,3,7,333.0,2023-01-20,Sell,474.6001,114.08,54142.38
268,3,7,211.0,2023-09-25,Sell,430.933,76.0,32750.91
269,3,7,57.0,2023-08-25,Sell,420.5966,166.44,70004.1
270,3,7,387.0,2023-06-30,Sell,496.123,471.7,234021.22
271,3,7,432.0,2024-01-05,Sell,223.3974,285.27,63728.58
272,3,7,432.0,2024-04-12,Buy,-261.9719,441.71,115715.61
273,3,7,475.0,2024-02-02,Buy,111.5229,394.39,43983.52
274,3,7,387.0,2023-03-02,Sell,454.991,39.55,17994.89
275,3,7,333.0,2023-05-20,Buy,462.08,94.19,43523.32
276,3,7,,2023-03-09,Withdrawal,,,83749.09
277,3,7,,2024-04-18,Withdrawal,,,74956.9
278,3,7,183.0,2024-07-06,Sell,429.0702,429.17,184144.06
279,3,7,387.0,2023-01-19,Buy,414.1124,420.08,173960.34
280,3,7,,2023-07-10,Deposit,,,25227.49
281,3,7,,2024-01-20,Advisory Fee,,,3424.94
282,3,7,,2024-09-11,Deposit,,,76805.14
283,3,7,,2024-05-25,Deposit,,,44289.25
284,3,7,211.0,2023-04-15,Dividend,25.9622,379.86,9862.0
285,3,7,,2024-08-18,Withdrawal,,,55560.01
286,3,7,475.0,2023-02-20,Dividend,48.3663,428.32,20716.25
287,3,7,123.0,2024-09-11,Buy,226.0589,401.2,90694.83
288,3,7,123.0,2023-02-28,Buy,410.3024,237.39,97401.69
289,3,7,432.0,2024-08-25,Sell,293.2947,29.07,8526.08
290,3,7,,2024-07-22,Deposit,,,1809.15
291,3,7,,2023-09-22,Withdrawal,,,19596.2
292,3,7,214.0,2023-07-27,Dividend,464.5417,373.87,173678.21
293,3,7,211.0,2024-04-24,Buy,76.3511,239.71,18302.12
294,3,7,432.0,2024-10-05,Buy,276.0517,154.8,42732.8
295,3,7,,2024-05-30,Deposit,,,73399.04
296,3,7,432.0,2024-01-23,Buy,225.309,325.19,73268.23
297,3,7,,2024-09-25,Withdrawal,,,66484.05
298,3,7,214.0,2024-01-27,Buy,301.2993,14.18,4272.42
299,3,7,211.0,2024-01-21,Buy,117.6039,245.48,28869.41
300,3,7,214.0,2024-12-24,Dividend,44.4362,258.09,11468.54
301,3,7,,2023-07-29,Advisory Fee,,,6698.63
302,3,7,475.0,2022-12-26,Buy,144.0206,233.78,33669.14
303,3,7,,2024-07-08,Advisory Fee,,,4821.21
304,3,7,183.0,2023-03-11,Buy,475.1724,22.42,10653.37
305,3,7,123.0,2023-08-19,Buy,373.021,400.55,149413.56
306,3,7,432.0,2024-02-05,Sell,56.0652,498.84,27967.56
307,3,7,475.0,2023-02-01,Buy,492.7702,296.87,146288.69
308,3,7,387.0,2023-08-06,Sell,473.716,476.08,225526.71
309,3,7,183.0,2023-08-03,Dividend,355.216,435.4,154661.05
310,3,7,,2023-03-29,Withdrawal,,,81574.03
311,3,7,214.0,2024-08-31,Sell,167.1816,92.63,15486.03
312,3,7,387.0,2022-12-20,Buy,448.0468,199.55,89407.74
313,3,7,,2024-07-31,Withdrawal,,,58937.49
314,3,7,,2023-04-30,Advisory Fee,,,4410.44
315,3,7,57.0,2024-11-07,Dividend,368.6222,166.84,61500.93
316,3,7,333.0,2024-10-29,Buy,19.8502,32.02,635.6
317,3,7,387.0,2023-12-24,Buy,296.029,45.88,13581.81
318,3,7,,2024-04-06,Withdrawal,,,47974.53
319,3,7,,2023-12-11,Advisory Fee,,,5946.11
320,3,7,,2024-08-28,Deposit,,,44246.08
321,3,7,432.0,2024-01-10,Buy,223.4053,124.77,27874.28
322,3,7,,2024-07-17,Withdrawal,,,17351.13
323,3,7,469.0,2024-12-01,Dividend,103.8103,451.98,46920.18
324,3,7,,2024-04-06,Advisory Fee,,,6434.41
325,3,7,123.0,2023-07-17,Sell,415.5868,228.67,95032.23
326,3,7,432.0,2024-09-25,Buy,43.0374,484.34,20844.73
327,3,7,,2024-06-27,Advisory Fee,,,3401.13
328,3,7,387.0,2024-07-17,Dividend,252.7757,415.37,104995.44
329,3,7,469.0,2023-03-18,Buy,101.3691,371.29,37637.33
330,3,7,211.0,2023-11-08,Sell,287.4339,243.37,69952.79
331,3,7,,2023-03-25,Deposit,,,94329.61
332,3,7,,2023-07-27,Advisory Fee,,,5053.46
333,3,7,,2023-05-02,Deposit,,,66564.54
334,3,7,432.0,2024-03-17,Buy,352.2892,468.47,165036.92
335,3,7,432.0,2024-06-02,Dividend,263.2397,267.96,70537.71
336,3,7,,2023-11-08,Withdrawal,,,49272.52
337,3,7,475.0,2023-04-06,Sell,196.1919,13.88,2723.14
338,3,7,211.0,2023-02-13,Buy,200.1664,301.51,60352.17
339,3,7,191.0,2023-05-04,Sell,64.413,60.65,3906.65
340,3,7,,2023-08-03,Deposit,,,65810.65
341,3,7,123.0,2023-02-05,Sell,154.9425,415.53,64383.26
342,3,7,183.0,2023-07-18,Sell,147.5028,399.2,58883.12
343,3,7,333.0,2024-03-17,Buy,499.0927,429.81,214515.03
344,3,7,333.0,2024-01-18,Dividend,444.2291,479.82,213150.01
345,3,7,,2024-08-01,Withdrawal,,,6057.3
346,3,7,191.0,2023-03-13,Buy,319.7967,13.54,4330.05
347,3,7,,2024-06-15,Advisory Fee,,,2584.83
348,3,7,387.0,2024-11-14,Buy,441.545,479.39,211672.26
349,3,7,475.0,2024-10-30,Sell,234.2049,499.72,117036.87
350,3,7,432.0,2024-02-14,Dividend,117.3156,61.73,7241.89
351,3,7,191.0,2024-09-19,Buy,231.2021,377.84,87357.4
352,3,7,387.0,2024-09-22,Sell,452.3848,443.34,200560.28
353,3,7,,2023-02-24,Deposit,,,49158.54
354,3,7,432.0,2024-09-20,Buy,409.9345,398.74,163457.28
355,3,7,,2023-11-16,Deposit,,,69111.76
356,3,7,211.0,2024-08-23,Sell,379.1103,337.09,127794.29
357,3,7,183.0,2023-10-17,Buy,336.7878,282.2,95041.52
358,3,7,214.0,2024-03-16,Dividend,194.7488,276.5,53848.04
359,3,7,57.0,2024-12-13,Buy,424.1307,126.58,53686.46
360,3,7,,2023-07-14,Withdrawal,,,16746.75
361,3,7,432.0,2024-05-15,Buy,379.8995,331.34,125875.9
362,3,7,,2023-03-01,Deposit,,,22393.18
363,3,7,,2023-04-18,Withdrawal,,,73783.68
364,3,7,123.0,2024-05-21,Sell,77.7299,481.63,37437.05
365,4,22,14.0,2020-07-21,Sell,363.4847,324.61,117990.77
366,4,22,,2022-09-30,Deposit,,,41438.65
367,4,22,450.0,2020-04-14,Sell,146.8051,141.04,20705.39
368,4,22,,2024-05-17,Advisory Fee,,,1987.22
369,4,22,450.0,2022-02-10,Sell,88.5129,411.56,36428.37
370,4,22,366.0,2020-02-08,Sell,126.8618,224.36,28462.71
371,4,22,,2023-06-10,Withdrawal,,,18556.91
372,4,22,95.0,2020-11-02,Sell,301.9694,163.11,49254.23
373,4,22,95.0,2020-01-04,Dividend,94.0335,108.43,10196.05
374,4,22,,2020-01-10,Advisory Fee,,,1299.09
375,4,22,,2024-09-05,Advisory Fee,,,2778.99
376,4,22,,2023-09-27,Withdrawal,,,4346.88
377,4,22,,2022-09-11,Advisory Fee,,,2168.94
378,4,22,,2020-12-19,Advisory Fee,,,1756.84
379,4,22,454.0,2021-12-24,Sell,327.5367,490.2,160558.49
380,4,22,3.0,2024-05-13,Sell,322.9235,349.39,112826.24
381,4,22,450.0,2020-01-08,Buy,482.6193,242.87,117213.75
382,4,22,,2023-02-27,Advisory Fee,,,2366.68
383,4,22,366.0,2021-08-19,Buy,291.9908,426.05,124402.68
384,4,22,95.0,2020-11-23,Buy,494.2014,175.34,86653.27
385,4,22,,2021-03-22,Deposit,,,73923.34
386,4,22,288.0,2022-08-24,Buy,485.1873,364.97,177078.81
387,4,22,17.0,2021-03-05,Buy,82.7395,309.32,25592.98
388,4,22,,2023-07-20,Deposit,,,27061.63
389,4,22,424.0,2024-09-03,Sell,365.8207,473.3,173142.94
390,4,22,450.0,2022-10-07,Sell,159.6815,305.4,48766.73
391,4,22,14.0,2020-10-22,Dividend,75.8949,50.55,3836.49
392,4,22,454.0,2022-02-02,Buy,272.0491,235.26,64002.27
393,4,22,,2024-01-19,Advisory Fee,,,2268.07
394,4,22,,2020-11-08,Advisory Fee,,,1712.68
395,4,22,,2023-11-22,Advisory Fee,,,2217.73
396,4,22,288.0,2023-11-02,Sell,245.1304,47.26,11584.86
397,4,22,80.0,2020-04-24,Buy,25.5433,169.76,4336.23
398,4,22,,2022-04-03,Deposit,,,31944.0
399,4,22,95.0,2022-09-02,Sell,244.235,202.02,49340.35
400,4,22,95.0,2022-02-28,Buy,140.9975,47.12,6643.8
401,4,22,450.0,2024-02-11,Dividend,9.2298,495.3,4571.52
402,4,22,,2023-10-12,Deposit,,,9618.41
403,4,22,463.0,2024-08-31,Sell,152.7675,55.14,8423.6
404,4,22,90.0,2024-04-15,Buy,119.7976,112.15,13435.3
405,4,22,,2020-11-19,Deposit,,,73094.6
406,4,22,80.0,2022-10-11,Sell,364.1212,486.93,177301.54
407,4,22,90.0,2024-06-12,Dividend,59.8402,190.85,11420.5
408,4,22,463.0,2024-05-29,Buy,174.3961,280.92,48991.35
409,4,22,475.0,2022-07-04,Dividend,404.5311,337.51,136533.29
410,4,22,90.0,2024-06-18,Sell,457.5756,358.55,164063.73
411,4,22,,2023-05-14,Withdrawal,,,71658.25
412,4,22,366.0,2024-05-30,Buy,221.5117,372.07,82417.86
413,4,22,463.0,2021-01-07,Dividend,374.0717,326.27,122048.37
414,4,22,,2024-01-27,Deposit,,,6896.81
415,4,22,147.0,2022-01-14,Buy,447.0088,321.2,143579.23
416,4,22,147.0,2023-09-25,Dividend,412.8954,458.55,189333.19
417,4,22,,2022-07-12,Advisory Fee,,,2735.8
418,4,22,,2023-03-05,Deposit,,,81621.65
419,4,22,3.0,2024-05-31,Dividend,460.247,399.97,184084.99
420,4,22,288.0,2024-10-25,Sell,303.3616,213.72,64834.44
421,4,22,,2024-07-25,Advisory Fee,,,2103.29
422,4,22,,2023-10-01,Withdrawal,,,65494.88
423,4,22,122.0,2023-11-03,Sell,176.0794,122.44,21559.16
424,4,22,95.0,2020-11-19,Sell,231.8552,456.11,105751.48
425,4,22,122.0,2022-04-10,Sell,216.4215,122.08,26420.74
426,5,20,277.0,2021-03-28,Dividend,301.0272,277.45,83520.0
